ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
1,2,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2017-0526,CONSORCIO 4C,GP-4233,08/02/2017,"Entrega de Treinta y Dos (32) expedientes prediales de las Unidades Funcionales 2, 3, 4, 5 para revisión de componente Social.",15_04_Comunic_Recibidas/2017/CI004_GP-4233_070401_CON_0526_FCHAS_SCIALES.pdf
2,7,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2017-1295,CORPORACIÓN AUTÓNOMA REGIONAL CUNDINAMARCA -CAR,GP-4756,03/04/2017,"Solicitud de desistimiento de la construcción de la obra hidráulica aprobada mediante Resolución No. 2364 del 03 de noviembre de 2015, Expediente 51495 - Unidad Funcional 3.",15_04_Comunic_Recibidas/2017/CI004_GP-4756_070108_CON_1295_SCTUD_DESIST_OBRA_HIDRAU_EXP_51495_UF3.pdf
3,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-1983,CORPORACION AUTONOMA REGIONAL CUNDINAMARCA - CAR,GP-5211,22/05/2017,Entrega información adicional radicado CAR 07172101889 del 16 de mayo de 2017,15_04_Comunic_Recibidas/2017/CI004_GP-5211_070108_CON_1983_OCUP_CAUCE_.pdf
4,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-0397,CORPORACIÓN AUTÓNOMA REGIONAL CUNDINAMARCA -CAR,GP-4147,27/01/2017,"Remisión de Resolución 1876 del 16 de diciembre de 2016, expedida por la Agencia Nacional de Infraestructura y listado de coordenadas del corredor vial / Honda – Puerto Salgar – Girardot.",15_04_Comunic_Recibidas/2017/CI004_GP-4147_070108_CON_0397_RES_1876_ANI_COORD_VIAL_CAR.pdf
5,22,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-3859,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI,GP-6030,19/09/2017,Solicitud de Desenglobe Catastral.,15_04_Comunic_Recibidas/2017/CI004_GP-6030_070400_CON_3859_DESENGL_CATASTRA.pdf
